x,y,z,t,d
17.00,396.45,399.21,400,6706.98
17.10,401.97,400.59,400,6747.11
17.20,403.35,400.59,400,6787.31
17.30,397.83,395.06,400,6826.95
17.40,400.59,401.97,400,6867.08
17.50,401.97,403.35,400,6907.28
17.60,397.83,396.45,400,6947.06
17.70,401.97,401.97,400,6987.26
17.80,403.35,401.97,400,7027.52
17.90,397.83,397.83,400,7067.31
18.00,403.35,401.97,400,7107.57
18.10,404.73,399.21,400,7147.77
18.20,396.45,396.45,400,7187.41
18.30,397.83,400.59,400,7227.33
18.40,399.21,403.35,400,7267.39
18.50,396.45,392.30,400,7306.90
18.60,401.97,397.83,400,7346.82
18.70,403.35,399.21,400,7387.02
18.80,396.45,396.45,400,7426.66
18.90,403.35,400.59,400,7466.86
19.00,403.35,403.35,400,7507.20
19.10,397.83,399.21,400,7546.98
19.20,403.35,400.59,400,7587.24
19.30,396.45,397.83,400,7626.89
19.40,400.59,401.97,400,7667.09
19.50,400.59,407.50,400,7707.49
19.60,395.06,404.74,400,7747.48
19.70,401.97,407.50,400,7787.88
19.80,400.59,407.50,400,7828.36
19.90,392.30,400.59,400,7868.07
20.00,400.59,395.06,400,7907.72
20.10,403.35,392.30,400,7947.64
20.20,396.45,392.30,400,7987.01
20.30,400.59,400.59,400,8027.06
20.40,403.35,400.59,400,8067.19
20.50,396.45,395.06,400,8106.77
20.60,400.59,400.59,400,8146.83
20.70,401.97,401.97,400,8187.09
20.80,396.44,396.45,400,8226.81
20.90,403.36,401.97,400,8266.94
21.00,399.21,401.97,400,8307.06
21.10,395.06,396.45,400,8346.64
21.20,400.60,400.59,400,8386.70
21.30,399.21,401.97,400,8426.83
21.40,395.06,397.83,400,8466.47
21.50,400.60,401.96,400,8506.53
21.60,400.59,401.97,400,8546.73
21.70,396.45,397.83,400,8586.37
21.80,400.60,401.97,400,8626.43
21.90,401.97,400.59,400,8666.63
22.00,397.82,397.83,400,8706.34
22.10,401.97,401.97,400,8746.61
22.20,401.97,403.35,400,8786.94
22.30,397.82,396.45,400,8826.59
22.40,401.97,400.59,400,8866.71
22.50,399.21,397.83,400,8906.50
22.60,401.97,401.97,400,8946.76
22.70,400.59,400.59,400,8986.82
22.80,396.46,396.45,400,9026.54
22.90,403.35,403.36,400,9066.87
23.00,401.97,401.96,400,9106.93
23.10,396.45,396.46,400,9146.64
23.20,403.35,401.96,400,9186.91
23.30,400.60,403.36,400,9227.11
23.40,397.82,396.45,400,9266.82
23.50,401.97,403.35,400,9307.02
23.60,401.97,400.60,400,9347.29
23.70,397.82,397.82,400,9387.00
23.80,400.60,401.97,400,9427.13
23.90,401.97,403.35,400,9467.32
24.00,396.45,393.68,400,9506.97
24.10,401.97,401.97,400,9547.03
24.20,399.20,400.60,400,9587.09
24.30,390.93,397.82,400,9626.52
24.40,395.06,403.36,400,9666.45
24.50,397.83,400.59,400,9706.37
24.60,396.45,396.45,400,9746.01
24.70,401.97,401.97,400,9786.21
24.80,401.97,403.35,400,9826.40
24.90,397.82,393.68,400,9866.05
25.00,401.97,399.21,400,9906.18
25.10,403.35,401.97,400,9946.37
25.20,399.21,396.45,400,9986.09
25.30,400.60,400.60,400,10026.29
